id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
205743,FALSE,11/07/17 12:20,0,11/07/17 12:21,-81914,11/07/17 12:02,Transitime,2,2,451,278213,1017,00:17:56,-1,11/07/17,100,1076
205744,FALSE,11/07/17 12:20,0,11/07/17 12:17,136883,11/07/17 12:06,Transitime,2,2,451,278213,1017,00:13:43,2,11/07/17,100,823
242759,TRUE,11/07/17 13:28,0,11/07/17 13:40,-710388,11/07/17 13:23,Transitime,2,2,7469,278210,1508,00:04:46,-12,11/07/17,100,286
206025,FALSE,11/07/17 12:21,0,11/07/17 12:21,21785,11/07/17 12:19,Transitime,2,2,455,278213,1017,00:02:45,0,11/07/17,100,165
246409,TRUE,11/07/17 13:35,1,11/07/17 13:30,307815,11/07/17 13:19,Transitime,2,2,887,278256,1008,00:15:38,5,11/07/17,100,938
246410,FALSE,11/07/17 13:35,1,11/07/17 13:38,-182194,11/07/17 13:36,Transitime,2,2,888,278256,1008,23:59:16,-3,11/07/17,100,-44
246413,FALSE,11/07/17 13:36,1,11/07/17 13:40,-247004,11/07/17 13:36,Transitime,2,2,473,278256,1008,23:59:47,-4,11/07/17,100,-13
206316,FALSE,11/07/17 12:21,1,11/07/17 12:19,122575,11/07/17 12:19,Transitime,2,2,498,278259,2603,00:02:45,2,11/07/17,100,165
206317,FALSE,11/07/17 12:22,1,11/07/17 12:30,-479463,11/07/17 12:02,Transitime,2,2,500,278259,2603,00:20:22,-8,11/07/17,100,1222
206318,FALSE,11/07/17 12:22,1,11/07/17 12:20,104841,11/07/17 12:06,Transitime,2,2,500,278259,2603,00:16:09,2,11/07/17,100,969
378594,FALSE,13/07/17 12:04,1,13/07/17 12:07,-154946,13/07/17 11:54,Transitime,2,2,522,278260,1518,00:10:11,-3,13/07/17,300,611
248248,FALSE,,1,11/07/17 13:22,0,11/07/17 13:15,Transitime,2,2,478,278257,1510,10:44:29,0,30/12/99,Err:502,-3708940531
251017,FALSE,11/07/17 13:45,0,11/07/17 13:42,158943,11/07/17 13:40,Transitime,2,2,438,278210,1508,00:04:45,3,11/07/17,100,285
251019,FALSE,11/07/17 13:45,0,11/07/17 13:46,-29816,11/07/17 13:36,Transitime,2,2,440,278210,1508,00:09:00,0,11/07/17,100,540
252734,FALSE,11/07/17 13:48,0,11/07/17 13:48,-27867,11/07/17 13:44,Transitime,2,2,443,278210,1508,00:03:08,0,11/07/17,100,188
206457,FALSE,11/07/17 12:19,1,11/07/17 12:16,175184,11/07/17 12:10,Transitime,2,2,4898,278260,1008,00:08:49,3,11/07/17,100,529
206458,FALSE,11/07/17 12:19,1,11/07/17 12:19,11987,11/07/17 12:19,Transitime,2,2,4898,278260,1008,00:00:34,0,11/07/17,100,34
206459,FALSE,11/07/17 12:19,1,11/07/17 12:16,194087,11/07/17 11:53,Transitime,2,2,546,278260,1008,00:26:21,3,11/07/17,100,1581
206460,FALSE,11/07/17 12:19,1,11/07/17 12:19,25815,11/07/17 12:06,Transitime,2,2,7470,278260,1008,00:13:34,0,11/07/17,100,814
206461,FALSE,11/07/17 12:19,1,11/07/17 12:18,96637,11/07/17 12:10,Transitime,2,2,7470,278260,1008,00:09:10,2,11/07/17,100,550
252847,FALSE,11/07/17 13:47,0,11/07/17 13:51,-249166,11/07/17 13:36,Transitime,2,2,937,278211,2603,00:10:41,-4,11/07/17,100,641
206732,FALSE,11/07/17 12:23,1,11/07/17 12:22,60722,11/07/17 12:19,Transitime,2,2,504,278259,2603,00:04:37,1,11/07/17,100,277
252849,FALSE,11/07/17 13:48,0,11/07/17 13:50,-124029,11/07/17 13:28,Transitime,2,2,5887,278211,2603,00:20:26,-2,11/07/17,100,1226
207395,FALSE,11/07/17 12:26,1,11/07/17 12:23,155298,11/07/17 12:14,Transitime,2,2,505,278259,2603,00:11:31,3,11/07/17,100,691
207408,FALSE,,0,11/07/17 12:11,0,11/07/17 11:48,Transitime,2,2,935,278214,1508,12:11:04,0,30/12/99,Err:502,-3708935336
382190,TRUE,13/07/17 12:13,0,13/07/17 12:05,454269,13/07/17 11:41,Transitime,2,2,430,278213,1522,00:31:11,8,13/07/17,300,1871
382191,FALSE,13/07/17 12:13,0,13/07/17 12:11,85392,13/07/17 12:11,Transitime,2,2,430,278213,1522,00:01:26,1,13/07/17,300,86
208225,FALSE,11/07/17 12:29,0,11/07/17 12:24,245892,11/07/17 12:19,Transitime,2,2,462,278213,1017,00:10:03,4,11/07/17,100,603
208226,FALSE,11/07/17 12:28,0,11/07/17 12:24,245889,11/07/17 12:19,Transitime,2,2,461,278213,1017,00:09:44,4,11/07/17,100,584
255997,FALSE,11/07/17 13:54,0,11/07/17 13:56,-103854,11/07/17 13:53,Transitime,2,2,461,278210,1508,00:01:00,-2,11/07/17,100,60
208747,FALSE,11/07/17 12:28,1,11/07/17 12:25,183445,11/07/17 12:10,Transitime,2,2,517,278259,2603,00:17:42,3,11/07/17,100,1062
259034,FALSE,11/07/17 13:56,1,11/07/17 13:53,211467,11/07/17 13:32,Transitime,2,2,506,278256,1008,00:24:26,4,11/07/17,100,1466
