id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
385983,FALSE,13/07/17 12:23,0,13/07/17 12:19,223128,13/07/17 12:08,Transitime,2,2,454,278213,1522,00:15:25,4,13/07/17,300,925
386262,FALSE,,1,13/07/17 12:08,0,13/07/17 11:41,Transitime,2,2,541,278260,2906,12:18:10,0,30/12/99,Err:502,-3709107710
386263,FALSE,,1,13/07/17 12:09,0,13/07/17 11:41,Transitime,2,2,4504,278260,2906,12:18:10,0,30/12/99,Err:502,-3709107710
386747,TRUE,13/07/17 12:35,0,13/07/17 12:25,601737,13/07/17 11:58,Transitime,2,2,6968,278212,1518,00:36:31,10,13/07/17,300,2191
386848,FALSE,13/07/17 12:26,0,13/07/17 12:27,-9173,13/07/17 12:21,Transitime,2,2,456,278213,1522,00:05:19,0,13/07/17,300,319
386851,FALSE,13/07/17 12:27,0,13/07/17 12:24,199754,13/07/17 12:08,Transitime,2,2,458,278213,1522,00:19:09,3,13/07/17,300,1149
386852,FALSE,13/07/17 12:29,0,13/07/17 12:29,-12227,13/07/17 12:21,Transitime,2,2,461,278213,1522,00:07:28,0,13/07/17,300,448
387158,FALSE,13/07/17 12:29,0,13/07/17 12:28,63550,13/07/17 12:26,Transitime,2,2,6936,278213,1522,00:03:32,1,13/07/17,300,212
387667,FALSE,13/07/17 12:31,0,13/07/17 12:31,-25552,13/07/17 12:30,Transitime,2,2,405,278212,1518,00:00:25,0,13/07/17,300,25
388270,FALSE,13/07/17 12:33,0,13/07/17 12:28,242800,13/07/17 12:08,Transitime,2,2,468,278213,1522,00:24:47,4,13/07/17,300,1487
388271,FALSE,13/07/17 12:33,0,13/07/17 12:33,-16165,13/07/17 12:17,Transitime,2,2,469,278213,1522,00:16:03,0,13/07/17,300,963
416862,FALSE,13/07/17 13:50,0,13/07/17 13:46,246352,13/07/17 13:33,Transitime,2,2,453,278210,2403,00:16:51,4,13/07/17,300,1011
388899,FALSE,13/07/17 12:34,0,13/07/17 12:33,5037,13/07/17 12:21,Transitime,2,2,471,278213,1522,00:12:22,0,13/07/17,300,742
389463,FALSE,13/07/17 12:35,0,13/07/17 12:36,-31743,13/07/17 12:30,Transitime,2,2,414,278212,1518,00:04:44,-1,13/07/17,300,284
389464,FALSE,13/07/17 12:37,0,13/07/17 12:37,2954,13/07/17 12:34,Transitime,2,2,7620,278212,1518,00:02:23,0,13/07/17,300,143
390546,FALSE,13/07/17 12:39,0,13/07/17 12:39,-16300,13/07/17 12:30,Transitime,2,2,422,278212,1518,00:08:43,0,13/07/17,300,523
390651,FALSE,13/07/17 12:39,0,13/07/17 12:36,141038,13/07/17 12:26,Transitime,2,2,937,278213,1522,00:12:43,2,13/07/17,300,763
390652,FALSE,13/07/17 12:39,0,13/07/17 12:37,110499,13/07/17 12:30,Transitime,2,2,937,278213,1522,00:08:18,2,13/07/17,300,498
391171,TRUE,13/07/17 12:40,1,13/07/17 12:55,-889491,13/07/17 12:26,Transitime,2,2,6497,278257,1522,00:13:49,-15,13/07/17,300,829
392360,FALSE,13/07/17 12:48,0,13/07/17 12:47,43567,13/07/17 12:39,Transitime,2,2,438,278212,1518,00:09:11,1,13/07/17,300,551
392829,FALSE,13/07/17 12:49,0,13/07/17 12:47,128289,13/07/17 12:34,Transitime,2,2,440,278212,1518,00:15:04,2,13/07/17,300,904
393126,FALSE,13/07/17 12:51,0,13/07/17 12:52,-85762,13/07/17 12:47,Transitime,2,2,443,278212,1518,00:04:05,-1,13/07/17,300,245
393127,FALSE,13/07/17 12:50,0,13/07/17 12:50,50859,13/07/17 12:39,Transitime,2,2,442,278212,1518,00:11:58,1,13/07/17,300,718
393403,FALSE,13/07/17 12:51,0,13/07/17 12:53,-71658,13/07/17 12:51,Transitime,2,2,444,278212,1518,00:00:42,-1,13/07/17,300,42
393404,FALSE,13/07/17 12:52,0,13/07/17 12:52,5461,13/07/17 12:39,Transitime,2,2,446,278212,1518,00:13:42,0,13/07/17,300,822
393405,FALSE,13/07/17 12:53,0,13/07/17 12:55,-141163,13/07/17 12:47,Transitime,2,2,447,278212,1518,00:05:51,-2,13/07/17,300,351
393406,FALSE,13/07/17 12:53,0,13/07/17 12:55,-109967,13/07/17 12:51,Transitime,2,2,4482,278212,1518,00:02:30,-2,13/07/17,300,150
393674,FALSE,13/07/17 12:54,0,13/07/17 12:56,-133845,13/07/17 12:51,Transitime,2,2,451,278212,1518,00:03:19,-2,13/07/17,300,199
394133,FALSE,13/07/17 12:56,0,13/07/17 12:57,-57535,13/07/17 12:34,Transitime,2,2,454,278212,1518,00:21:20,-1,13/07/17,300,1280
395918,FALSE,13/07/17 13:03,0,13/07/17 13:01,120820,13/07/17 12:43,Transitime,2,2,461,278212,1518,00:20:45,2,13/07/17,300,1245
396244,FALSE,13/07/17 13:04,0,13/07/17 13:04,-10810,13/07/17 12:47,Transitime,2,2,462,278212,1518,00:16:57,0,13/07/17,300,1017
396245,FALSE,13/07/17 13:04,0,13/07/17 13:03,22506,13/07/17 13:03,Transitime,2,2,462,278212,1518,00:00:35,0,13/07/17,300,35
397374,FALSE,,1,13/07/17 12:52,0,13/07/17 12:43,Transitime,2,2,487,278257,1522,11:16:52,0,30/12/99,Err:502,-3709111388
397380,FALSE,,1,13/07/17 12:51,0,13/07/17 12:47,Transitime,2,2,482,278257,1522,11:12:51,0,30/12/99,Err:502,-3709111629
397860,FALSE,13/07/17 13:06,0,13/07/17 13:04,125668,13/07/17 12:39,Transitime,2,2,6937,278212,1518,00:27:08,2,13/07/17,300,1628
398055,FALSE,13/07/17 13:06,1,13/07/17 13:03,201761,13/07/17 12:59,Transitime,2,2,478,278257,1522,00:07:23,3,13/07/17,300,443
398441,TRUE,13/07/17 13:07,0,13/07/17 13:07,17970,13/07/17 12:47,Transitime,2,2,7616,278211,2512,00:20:48,0,13/07/17,300,1248
398442,TRUE,13/07/17 13:07,0,13/07/17 13:07,17970,13/07/17 12:59,Transitime,2,2,7616,278211,2512,00:08:33,0,13/07/17,300,513
400149,FALSE,,1,13/07/17 12:56,0,13/07/17 12:55,Transitime,2,2,6925,278257,1522,11:04:41,0,30/12/99,Err:502,-3709112119
400494,TRUE,13/07/17 13:10,0,13/07/17 13:10,-22031,13/07/17 12:47,Transitime,2,2,424,278211,2512,00:23:08,0,13/07/17,300,1388
400495,TRUE,13/07/17 13:11,0,13/07/17 13:12,-41307,13/07/17 12:59,Transitime,2,2,4017,278211,2512,00:11:58,-1,13/07/17,300,718
400496,FALSE,13/07/17 13:11,0,13/07/17 13:11,-24697,13/07/17 13:07,Transitime,2,2,7617,278211,2512,00:03:49,0,13/07/17,300,229
400497,TRUE,13/07/17 13:11,0,13/07/17 13:12,-44830,13/07/17 12:43,Transitime,2,2,427,278211,2512,00:28:27,-1,13/07/17,300,1707
400498,FALSE,13/07/17 13:11,0,13/07/17 13:12,-66037,13/07/17 13:12,Transitime,2,2,429,278211,2512,23:59:39,-1,13/07/17,300,-21
400499,FALSE,13/07/17 13:11,0,13/07/17 13:12,-29952,13/07/17 13:07,Transitime,2,2,430,278211,2512,00:04:07,0,13/07/17,300,247
400614,FALSE,13/07/17 13:11,0,13/07/17 13:07,235129,13/07/17 12:43,Transitime,2,2,4027,278212,1518,00:28:29,4,13/07/17,300,1709
400774,FALSE,13/07/17 13:11,1,13/07/17 13:05,373671,13/07/17 12:59,Transitime,2,2,485,278257,1522,00:12:30,6,13/07/17,300,750
400775,FALSE,13/07/17 13:11,1,13/07/17 13:06,323273,13/07/17 13:03,Transitime,2,2,485,278257,1522,00:08:23,5,13/07/17,300,503
400776,FALSE,13/07/17 13:11,1,13/07/17 13:06,320144,13/07/17 13:03,Transitime,2,2,482,278257,1522,00:08:02,5,13/07/17,300,482
401727,TRUE,13/07/17 13:14,0,13/07/17 13:14,11873,13/07/17 12:59,Transitime,2,2,4481,278211,2512,00:15:09,0,13/07/17,300,909
